rep_name,district_pretty,state,geoid20,party,office,phone,all_committees,appropriations,agriculture,oversight_and_accountability,armed_services,natural_resources,foreign_affairs,homeland_security,education_and_the_workforce,energy_and_commerce,ways_and_means,financial_services,transportation_and_infrastructure,small_business,judiciary,budget,select_subcommittee_on_the_weaponization_of_the_fed_govt,joint_committee_on_taxation,house_administration,Intelligence,select_subcommittee_on_the_coronavirus_pandemic,science_space_and_technology,veterans_affairs,select_sub_us_china,ethics,Rules,joint_library
Robert Aderholt,Alabama 4th,Alabama ,0104,R,266 CHOB,(202) 225-4876,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerry Carl,Alabama 1st,Alabama ,0101,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Moore,Alabama 2nd,Alabama ,0102,R,1504 LHOB,(202) 225-2901,agriculture|judiciary,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gary Palmer,Alabama 6th,Alabama ,0106,R,170 CHOB,(202) 225-4921,oversight_and_accountability|energy_and_commerce,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Rogers,Alabama 3rd,Alabama ,0103,R,2469 RHOB,(202) 225-3261,armed_services,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terri Sewell,Alabama 7th,Alabama ,0107,D,1035 LHOB,(202) 225-2665,armed_services|house_administration|joint_library|ways_and_means,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Dale Strong,Alabama 5th,Alabama ,0105,R,1337 LHOB,(202) 225-4801,armed_services|homeland_security|science_space_and_technology,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mary Peltola,Alaska ,Alaska ,0200,D,153 CHOB,(202) 225-5765,natural_resources|transportation_and_infrastructure,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Biggs,Arizona 5th,Arizona ,0405,R,252 CHOB,(202) 225-2635,oversight_and_accountability|judiciary,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Juan Ciscomani,Arizona 6th,Arizona ,0406,R,1429 LHOB,(202) 225-2542,appropriations|veterans_affairs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Elijah Crane,Arizona 2nd,Arizona ,0402,R,1229 LHOB,(202) 225-3361,homeland_security|small_business|veterans_affairs,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Ruben Gallego,Arizona 3rd,Arizona ,0403,D,1114 LHOB,(202) 225-4065,armed_services|natural_resources,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Gosar,Arizona 9th,Arizona ,0409,R,2057 RHOB,(202) 225-2315,oversight_and_accountability|natural_resources,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul Grijalva,Arizona 7th,Arizona ,0407,D,1203 LHOB,(202) 225-2435,education_and_the_workforce|natural_resources,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debbie Lesko,Arizona 8th,Arizona ,0408,R,1214 LHOB,(202) 225-4576,energy_and_commerce|select_subcommittee_on_the_coronavirus_pandemic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
David Schweikert,Arizona 1st,Arizona ,0401,R,460 CHOB,(202) 225-2190,ways_and_means,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Stanton,Arizona 4th,Arizona ,0404,D,207 CHOB,(202) 225-9888,foreign_affairs|transportation_and_infrastructure,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Crawford,Arkansas 1st,Arkansas ,0501,R,2422 RHOB,(202) 225-4076,agriculture|Intelligence|transportation_and_infrastructure|science_space_and_technology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
J. Hill,Arkansas 2nd,Arkansas ,0502,R,1533 LHOB,(202) 225-2506,financial_services|foreign_affairs|Intelligence,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bruce Westerman,Arkansas 4th,Arkansas ,0504,R,202 CHOB,(202) 225-3772,natural_resources|transportation_and_infrastructure,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Womack,Arkansas 3rd,Arkansas ,0503,R,2412 RHOB,(202) 225-4301,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pete Aguilar,California 33rd,California ,0633,D,108 CHOB,(202) 225-3201,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanette Barragan,California 44th,California ,0644,D,2312 RHOB,(202) 225-8220,energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ami Bera,California 6th,California ,0606,D,172 CHOB,(202) 225-5716,foreign_affairs|Intelligence|select_subcommittee_on_the_coronavirus_pandemic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Julia Brownley,California 26th,California ,0626,D,2262 RHOB,(202) 225-5811,transportation_and_infrastructure|veterans_affairs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ken Calvert,California 41st,California ,0641,R,2205 RHOB,(202) 225-1986,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salud Carbajal,California 24th,California ,0624,D,2331 RHOB,(202) 225-3601,agriculture|armed_services|transportation_and_infrastructure,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Cardenas,California 29th,California ,0629,D,2181 RHOB,(202) 225-6131,energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judy Chu,California 28th,California ,0628,D,2423 RHOB,(202) 225-5464,small_business|ways_and_means,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Correa,California 46th,California ,0646,D,2301 RHOB,(202) 225-2965,homeland_security|judiciary,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jim Costa,California 21st,California ,0621,D,2081 RHOB,(202) 225-3341,agriculture|foreign_affairs,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark DeSaulnier,California 10th,California ,0610,D,503 CHOB,(202) 225-2095,education_and_the_workforce|transportation_and_infrastructure|ethics,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
John Duarte,California 13th,California ,0613,R,1535 LHOB,(202) 225-1947,agriculture|natural_resources|transportation_and_infrastructure,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna Eshoo,California 16th,California ,0616,D,272 CHOB,(202) 225-8104,energy_and_commerce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Garamendi,California 8th,California ,0608,D,2004 RHOB,(202) 225-1880,armed_services|select_subcommittee_on_the_weaponization_of_the_fed_govt|transportation_and_infrastructure,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mike Garcia,California 27th,California ,0627,R,144 CHOB,(202) 225-1956,appropriations|Intelligence|science_space_and_technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Robert Garcia,California 42nd,California ,0642,D,1305 LHOB,(202) 225-7924,oversight_and_accountability|homeland_security|select_subcommittee_on_the_coronavirus_pandemic,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jimmy Gomez,California 34th,California ,0634,D,506 CHOB,(202) 225-6235,oversight_and_accountability|Intelligence,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Josh Harder,California 9th,California ,0609,D,209 CHOB,(202) 225-4540,appropriations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Huffman,California 2nd,California ,0602,D,2445 RHOB,(202) 225-5161,natural_resources|transportation_and_infrastructure,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Issa,California 48th,California ,0648,R,2108 RHOB,(202) 225-5672,foreign_affairs|select_subcommittee_on_the_weaponization_of_the_fed_govt|judiciary|science_space_and_technology,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Sara Jacobs,California 51st,California ,0651,D,1314 LHOB,(202) 225-2040,armed_services|foreign_affairs,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Kamlager-Dove,California 37th,California ,0637,D,1419 LHOB,(202) 225-7084,foreign_affairs|natural_resources,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ro Khanna,California 17th,California ,0617,D,306 CHOB,(202) 225-2631,armed_services|oversight_and_accountability|select_sub_us_china,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kevin Kiley,California 3rd,California ,0603,R,1032 LHOB,(202) 225-2523,education_and_the_workforce|judiciary,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Young Kim,California 40th,California ,0640,R,1306 LHOB,(202) 225-4111,financial_services|foreign_affairs,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
