GEOID20,total_money_millions_Agency for International Development,total_money_millions_Department of Agriculture,total_money_millions_Department of Commerce,total_money_millions_Department of Defense,total_money_millions_Department of Education,total_money_millions_Department of Energy,total_money_millions_Department of Health and Human Services,total_money_millions_Department of Homeland Security,total_money_millions_Department of Justice,total_money_millions_Department of State,total_money_millions_Department of Transportation,total_money_millions_Department of Veterans Affairs,total_money_millions_Department of the Interior,total_money_millions_Environmental Protection Agency,total_money_millions_National Aeronautics and Space Administration,total_money_millions_National Science Foundation,total_money_millions_Securities and Exchange Commission,total_money_millions_Small Business Administration,unique_companies_Agency for International Development,unique_companies_Department of Agriculture,unique_companies_Department of Commerce,unique_companies_Department of Defense,unique_companies_Department of Education,unique_companies_Department of Energy,unique_companies_Department of Health and Human Services,unique_companies_Department of Homeland Security,unique_companies_Department of Justice,unique_companies_Department of State,unique_companies_Department of Transportation,unique_companies_Department of Veterans Affairs,unique_companies_Department of the Interior,unique_companies_Environmental Protection Agency,unique_companies_National Aeronautics and Space Administration,unique_companies_National Science Foundation,unique_companies_Securities and Exchange Commission,unique_companies_Small Business Administration,unique_awards_Agency for International Development,unique_awards_Department of Agriculture,unique_awards_Department of Commerce,unique_awards_Department of Defense,unique_awards_Department of Education,unique_awards_Department of Energy,unique_awards_Department of Health and Human Services,unique_awards_Department of Homeland Security,unique_awards_Department of Justice,unique_awards_Department of State,unique_awards_Department of Transportation,unique_awards_Department of Veterans Affairs,unique_awards_Department of the Interior,unique_awards_Environmental Protection Agency,unique_awards_National Aeronautics and Space Administration,unique_awards_National Science Foundation,unique_awards_Securities and Exchange Commission,unique_awards_Small Business Administration,contract_actions_Agency for International Development,contract_actions_Department of Agriculture,contract_actions_Department of Commerce,contract_actions_Department of Defense,contract_actions_Department of Education,contract_actions_Department of Energy,contract_actions_Department of Health and Human Services,contract_actions_Department of Homeland Security,contract_actions_Department of Justice,contract_actions_Department of State,contract_actions_Department of Transportation,contract_actions_Department of Veterans Affairs,contract_actions_Department of the Interior,contract_actions_Environmental Protection Agency,contract_actions_National Aeronautics and Space Administration,contract_actions_National Science Foundation,contract_actions_Securities and Exchange Commission,contract_actions_Small Business Administration,money_per_company_millions_Agency for International Development,money_per_company_millions_Department of Agriculture,money_per_company_millions_Department of Commerce,money_per_company_millions_Department of Defense,money_per_company_millions_Department of Education,money_per_company_millions_Department of Energy,money_per_company_millions_Department of Health and Human Services,money_per_company_millions_Department of Homeland Security,money_per_company_millions_Department of Justice,money_per_company_millions_Department of State,money_per_company_millions_Department of Transportation,money_per_company_millions_Department of Veterans Affairs,money_per_company_millions_Department of the Interior,money_per_company_millions_Environmental Protection Agency,money_per_company_millions_National Aeronautics and Space Administration,money_per_company_millions_National Science Foundation,money_per_company_millions_Securities and Exchange Commission,money_per_company_millions_Small Business Administration,contracts_per_company_Agency for International Development,contracts_per_company_Department of Agriculture,contracts_per_company_Department of Commerce,contracts_per_company_Department of Defense,contracts_per_company_Department of Education,contracts_per_company_Department of Energy,contracts_per_company_Department of Health and Human Services,contracts_per_company_Department of Homeland Security,contracts_per_company_Department of Justice,contracts_per_company_Department of State,contracts_per_company_Department of Transportation,contracts_per_company_Department of Veterans Affairs,contracts_per_company_Department of the Interior,contracts_per_company_Environmental Protection Agency,contracts_per_company_National Aeronautics and Space Administration,contracts_per_company_National Science Foundation,contracts_per_company_Securities and Exchange Commission,contracts_per_company_Small Business Administration
0101,-0.04,22.4,2.0,2243.35,0.0,0.0,409.21,351.56,5.76,0.25,12.07,12.56,23.76,0.0,-0.46,0.89,0.0,0.0,1.0,15.0,21.0,122.0,0.0,0.0,12.0,30.0,23.0,4.0,11.0,18.0,23.0,1.0,3.0,1.0,0.0,0.0,2.0,55.0,45.0,5530.0,0.0,0.0,128.0,358.0,64.0,25.0,30.0,75.0,185.0,2.0,23.0,1.0,0.0,0.0,3.0,101.0,62.0,7140.0,0.0,0.0,225.0,542.0,111.0,31.0,63.0,141.0,284.0,3.0,79.0,1.0,0.0,0.0,-0.04,1.49,0.1,18.39,0.0,0.0,34.1,11.72,0.25,0.06,1.1,0.7,1.03,0.0,-0.15,0.89,0.0,0.0,3.0,6.733333333333333,2.9523809523809526,58.52459016393443,0.0,0.0,18.75,18.066666666666666,4.826086956521739,7.75,5.7272727272727275,7.833333333333333,12.347826086956522,3.0,26.333333333333332,1.0,0.0,0.0
0102,0.02,8.34,2.58,613.04,0.34,0.0,3.65,307.81,3.79,999.57,3.49,404.49,6.11,0.0,31.15,0.0,0.0,-0.24,1.0,17.0,6.0,171.0,1.0,0.0,6.0,16.0,18.0,3.0,9.0,38.0,15.0,1.0,5.0,0.0,0.0,1.0,1.0,66.0,7.0,33407.0,1.0,0.0,13.0,76.0,50.0,38.0,21.0,217.0,39.0,1.0,39.0,0.0,0.0,1.0,2.0,142.0,15.0,34352.0,2.0,0.0,24.0,136.0,87.0,224.0,43.0,421.0,73.0,1.0,136.0,0.0,0.0,1.0,0.02,0.49,0.43,3.59,0.34,0.0,0.61,19.24,0.21,333.19,0.39,10.64,0.41,0.0,6.23,0.0,0.0,-0.24,2.0,8.352941176470589,2.5,200.88888888888889,2.0,0.0,4.0,8.5,4.833333333333333,74.66666666666667,4.777777777777778,11.078947368421053,4.866666666666666,1.0,27.2,0.0,0.0,1.0
0103,0.04,9.41,1.33,368.97,0.01,0.0,28.57,20.3,10.54,0.12,0.19,71.05,4.91,0.0,3.95,0.0,0.0,0.0,2.0,22.0,1.0,103.0,1.0,0.0,8.0,12.0,9.0,3.0,2.0,27.0,18.0,0.0,4.0,0.0,0.0,0.0,3.0,166.0,2.0,4655.0,1.0,0.0,20.0,30.0,106.0,5.0,2.0,334.0,43.0,0.0,13.0,0.0,0.0,0.0,4.0,230.0,8.0,5596.0,2.0,0.0,45.0,81.0,133.0,7.0,3.0,678.0,66.0,0.0,24.0,0.0,0.0,0.0,0.02,0.43,1.33,3.58,0.01,0.0,3.57,1.69,1.17,0.04,0.09,2.63,0.27,0.0,0.99,0.0,0.0,0.0,2.0,10.454545454545455,8.0,54.33009708737864,2.0,0.0,5.625,6.75,14.777777777777779,2.3333333333333335,1.5,25.11111111111111,3.6666666666666665,0.0,6.0,0.0,0.0,0.0
0104,0.0,2.12,0.0,95.47,0.0,0.1,0.39,17.49,1.01,0.25,-0.08,16.58,7.04,0.1,12.91,0.0,0.0,0.0,0.0,10.0,0.0,37.0,0.0,1.0,2.0,7.0,6.0,3.0,4.0,11.0,11.0,1.0,10.0,0.0,0.0,0.0,0.0,41.0,0.0,326.0,0.0,1.0,5.0,30.0,87.0,4.0,5.0,37.0,28.0,2.0,91.0,0.0,0.0,0.0,0.0,69.0,0.0,463.0,0.0,1.0,5.0,130.0,122.0,14.0,9.0,56.0,44.0,3.0,146.0,0.0,0.0,0.0,0.0,0.21,0.0,2.58,0.0,0.1,0.2,2.5,0.17,0.08,-0.02,1.51,0.64,0.1,1.29,0.0,0.0,0.0,0.0,6.9,0.0,12.513513513513514,0.0,1.0,2.5,18.571428571428573,20.333333333333332,4.666666666666667,2.25,5.090909090909091,4.0,3.0,14.6,0.0,0.0,0.0
0105,0.0,72.99,14.42,15740.59,-0.01,7.88,95.71,340.0,58.92,10.71,15.38,44.15,23.91,56.27,3395.05,0.0,0.0,0.0,1.0,25.0,15.0,457.0,1.0,8.0,27.0,52.0,63.0,16.0,23.0,36.0,41.0,9.0,93.0,0.0,0.0,0.0,1.0,122.0,60.0,11142.0,1.0,10.0,101.0,218.0,391.0,31.0,39.0,134.0,119.0,83.0,469.0,0.0,0.0,0.0,1.0,214.0,99.0,24191.0,1.0,23.0,225.0,502.0,617.0,80.0,106.0,190.0,190.0,447.0,2489.0,0.0,0.0,0.0,0.0,2.92,0.96,34.44,-0.01,0.98,3.54,6.54,0.94,0.67,0.67,1.23,0.58,6.25,36.51,0.0,0.0,0.0,1.0,8.56,6.6,52.93435448577681,1.0,2.875,8.333333333333334,9.653846153846153,9.793650793650794,5.0,4.608695652173913,5.277777777777778,4.634146341463414,49.666666666666664,26.763440860215052,0.0,0.0,0.0
0106,0.04,1.25,4.33,1483.56,0.0,2.41,-2.23,60.38,1083.58,1033.02,3.37,73.04,3.49,0.04,14.89,0.0,0.03,0.0,2.0,14.0,7.0,79.0,0.0,4.0,19.0,19.0,31.0,15.0,9.0,26.0,12.0,1.0,10.0,0.0,1.0,0.0,2.0,23.0,21.0,6447.0,0.0,12.0,60.0,38.0,2142.0,118.0,25.0,114.0,34.0,1.0,42.0,0.0,1.0,0.0,2.0,32.0,36.0,7102.0,0.0,17.0,96.0,99.0,5898.0,309.0,62.0,251.0,70.0,1.0,98.0,0.0,1.0,0.0,0.02,0.09,0.62,18.78,0.0,0.6,-0.12,3.18,34.95,68.87,0.37,2.81,0.29,0.04,1.49,0.0,0.03,0.0,1.0,2.2857142857142856,5.142857142857143,89.89873417721519,0.0,4.25,5.052631578947368,5.2105263157894735,190.25806451612902,20.6,6.888888888888889,9.653846153846153,5.833333333333333,1.0,9.8,0.0,1.0,0.0
0107,0.96,15.82,4.17,383.07,0.0,1.62,6.72,75.0,24.36,13.66,1.55,119.63,1.53,0.19,9.64,0.0,0.0,0.0,2.0,12.0,4.0,129.0,3.0,3.0,11.0,23.0,41.0,8.0,5.0,52.0,14.0,4.0,8.0,0.0,0.0,1.0,6.0,96.0,12.0,30371.0,3.0,9.0,90.0,46.0,181.0,335.0,8.0,1346.0,16.0,8.0,21.0,0.0,0.0,2.0,9.0,143.0,30.0,31133.0,4.0,17.0,155.0,137.0,374.0,432.0,10.0,1537.0,30.0,10.0,51.0,0.0,0.0,2.0,0.48,1.32,1.04,2.97,0.0,0.54,0.61,3.26,0.59,1.71,0.31,2.3,0.11,0.05,1.2,0.0,0.0,0.0,4.5,11.916666666666666,7.5,241.34108527131784,1.3333333333333333,5.666666666666667,14.090909090909092,5.956521739130435,9.121951219512194,54.0,2.0,29.557692307692307,2.142857142857143,2.5,6.375,0.0,0.0,2.0
0200,87.03,394.14,131.62,9222.25,29.65,158.54,545.41,1091.95,386.05,1551.17,146.63,42.08,545.01,129.5,87.5,6.3,-0.18,10.77,17.0,227.0,167.0,744.0,5.0,25.0,83.0,251.0,63.0,65.0,112.0,46.0,468.0,17.0,19.0,3.0,1.0,6.0,44.0,1263.0,380.0,12420.0,13.0,73.0,601.0,939.0,217.0,1013.0,342.0,140.0,2398.0,53.0,71.0,4.0,1.0,7.0,171.0,2046.0,699.0,23387.0,50.0,310.0,1187.0,2121.0,615.0,3658.0,913.0,239.0,4647.0,171.0,319.0,19.0,1.0,12.0,5.12,1.74,0.79,12.4,5.93,6.34,6.57,4.35,6.13,23.86,1.31,0.91,1.16,7.62,4.61,2.1,-0.18,1.8,10.058823529411764,9.013215859030836,4.18562874251497,31.434139784946236,10.0,12.4,14.301204819277109,8.450199203187251,9.761904761904763,56.276923076923076,8.151785714285714,5.195652173913044,9.929487179487179,10.058823529411764,16.789473684210527,6.333333333333333,1.0,2.0
0401,-0.02,29.14,23.06,1799.49,0.27,13.22,201.88,204.88,88.2,10.79,110.9,119.06,72.0,0.1,8.59,2.6,-0.21,-4.43,2.0,67.0,16.0,173.0,1.0,13.0,61.0,42.0,44.0,13.0,21.0,75.0,57.0,4.0,14.0,3.0,2.0,2.0,3.0,295.0,51.0,6855.0,1.0,22.0,410.0,255.0,431.0,44.0,317.0,793.0,279.0,4.0,18.0,3.0,4.0,2.0,3.0,386.0,79.0,9482.0,2.0,40.0,743.0,437.0,685.0,79.0,499.0,1119.0,459.0,4.0,32.0,8.0,4.0,2.0,-0.01,0.43,1.44,10.4,0.27,1.02,3.31,4.88,2.0,0.83,5.28,1.59,1.26,0.02,0.61,0.87,-0.1,-2.21,1.5,5.7611940298507465,4.9375,54.809248554913296,2.0,3.076923076923077,12.180327868852459,10.404761904761905,15.568181818181818,6.076923076923077,23.761904761904763,14.92,8.052631578947368,1.0,2.2857142857142856,2.6666666666666665,2.0,1.0
0402,0.0,50.64,0.14,42.27,0.0,5.62,37.2,20.66,0.49,0.25,13.44,11.42,41.37,0.0,0.28,0.0,0.0,0.0,1.0,151.0,4.0,40.0,0.0,2.0,55.0,11.0,11.0,4.0,3.0,27.0,150.0,0.0,5.0,0.0,0.0,0.0,1.0,942.0,7.0,458.0,0.0,71.0,244.0,77.0,15.0,31.0,5.0,86.0,554.0,0.0,10.0,0.0,0.0,0.0,2.0,1361.0,7.0,629.0,0.0,120.0,499.0,136.0,35.0,40.0,31.0,129.0,1203.0,0.0,20.0,0.0,0.0,0.0,0.0,0.34,0.04,1.06,0.0,2.81,0.68,1.88,0.04,0.06,4.48,0.42,0.28,0.0,0.06,0.0,0.0,0.0,2.0,9.013245033112582,1.75,15.725,0.0,60.0,9.072727272727272,12.363636363636363,3.1818181818181817,10.0,10.333333333333334,4.777777777777778,8.02,0.0,4.0,0.0,0.0,0.0
