GEOID20,CD118FP,h_rep_name,h_district_pretty,h_state,h_party,h_office,h_phone,h_all_committees,h_appropriations,h_agriculture,h_oversight_and_accountability,h_armed_services,h_natural_resources,h_foreign_affairs,h_homeland_security,h_education_and_the_workforce,h_energy_and_commerce,h_ways_and_means,h_financial_services,h_transportation_and_infrastructure,h_small_business,h_judiciary,h_budget,h_select_subcommittee_on_the_weaponization_of_the_fed_govt,h_joint_committee_on_taxation,h_house_administration,h_Intelligence,h_select_subcommittee_on_the_coronavirus_pandemic,h_science_space_and_technology,h_veterans_affairs,h_select_sub_us_china,h_ethics,h_Rules,h_joint_library,contract_actions,unique_awards,unique_companies,unique_addresses,unique_agencies,total_obligation,mean_obligation,median_obligation,max_obligation,min_obligation,std_obligation,largest_recipient,largest_agency,total_money_millions,money_per_company,money_per_company_millions,money_per_award,contracts_per_company
0101,01,Jerry Carl,Alabama 1st,Alabama ,R,1330 LHOB,(202) 225-4931,appropriations|natural_resources,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9009,6593,216,240,20,3166974054.01,351534.4715295816,401.63,516481569.0,-21955104.0,7519517.003136813,"AUSTAL USA, LLC",Department of Defense,3166.97,14661916.916712964,14.66,480354.0200227514,41.708333333333336
0102,02,Barry Moore,Alabama 2nd,Alabama ,R,1504 LHOB,(202) 225-2901,agriculture|judiciary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36271,34141,256,284,19,2448005861.97,67492.09732210306,348.54,333892822.0,-12322945.81,3251787.774086461,"CADDELL CONSTRUCTION CO. (DE), LLC",Department of State,2448.01,9562522.898320312,9.56,71702.81661257724,141.68359375
0103,03,Mike Rogers,Alabama 3rd,Alabama ,R,2469 RHOB,(202) 225-3261,armed_services,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7154,5547,184,198,23,522152456.9,72987.48349175286,2751.6899999999996,23390300.0,-1617213.2,599425.1469458062,C & C CONTRACTORS LLC,Department of Veterans Affairs,522.15,2837785.091847826,2.84,94132.40614746709,38.880434782608695
0104,04,Robert Aderholt,Alabama 4th,Alabama ,R,266 CHOB,(202) 225-4876,appropriations,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241,716,89,95,14,153416948.85,123623.64935535858,6000.0,18269886.4,-17954669.52,1193405.602802858,G & G STEEL INC,Department of Defense,153.42,1723785.9421348313,1.72,214269.4816340782,13.9438202247191
0105,05,Dale Strong,Alabama 5th,Alabama ,R,1337 LHOB,(202) 225-4801,armed_services|homeland_security|science_space_and_technology,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33730,13846,651,889,25,20813749028.37,617069.3456380076,228.765,450253748.5,-33754079.72,6129478.305653961,LOCKHEED MARTIN CORPORATION,Department of Defense,20813.75,31971964.71331797,31.97,1503231.9101812798,51.812596006144396
0106,06,Gary Palmer,Alabama 6th,Alabama ,R,170 CHOB,(202) 225-4921,oversight_and_accountability|energy_and_commerce,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14707,9236,182,211,30,4336790535.55,294879.3455871354,3532.52,779898181.0,-29561548.79,8798804.990566187,BL HARBERT INTERNATIONAL LLC,Department of State,4336.79,23828519.4260989,23.83,469552.8947109138,80.8076923076923
0107,07,Terri Sewell,Alabama 7th,Alabama ,D,1035 LHOB,(202) 225-2665,armed_services|house_administration|joint_library|ways_and_means,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34485,32671,272,308,24,677370322.76,19642.462599971,443.0,15725000.0,-8413500.0,276509.0155698136,"BILLY W. JARRETT CONSTRUCTION COMPANY, INC.",Department of Veterans Affairs,677.37,2490332.068970588,2.49,20733.075900951913,126.78308823529412
0200,00,Mary Peltola,Alaska ,Alaska ,D,153 CHOB,(202) 225-5765,natural_resources|transportation_and_infrastructure,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52875,29547,1522,1547,40,15311402104.12,289577.3447587707,659.76,122520921.95,-27915370.0,1753389.1399529392,TATITLEK FEDERAL SERVICES LLC,Department of State,15311.4,10060053.944888305,10.06,518204.9651105019,34.74047306176084
0401,01,David Schweikert,Arizona 1st,Arizona ,R,460 CHOB,(202) 225-2190,ways_and_means,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15348,10194,425,505,43,2829868778.37,184380.29569781077,1889.3200000000002,117360629.64,-6433685.38,1713571.149611766,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",Department of Defense,2829.87,6658514.772635294,6.66,277601.4104738081,36.112941176470585
0402,02,Elijah Crane,Arizona 2nd,Arizona ,R,1229 LHOB,(202) 225-3361,homeland_security|small_business|veterans_affairs,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4464,2570,405,464,20,225118047.24,50429.67008064516,1239.96,13847688.0,-961816.7,303010.6742174545,HATCH CONSTRUCTION & PAVING INC,Department of Transportation,225.12,555847.0302222222,0.56,87594.57091050583,11.022222222222222
0403,03,Ruben Gallego,Arizona 3rd,Arizona ,D,1114 LHOB,(202) 225-4065,armed_services|natural_resources,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77644,72477,317,343,23,2857853639.77,36807.14079349338,729.62,274716965.6,-10866516.74,1738060.6907652852,HENSEL PHELPS CONSTRUCTION CO.,General Services Administration,2857.85,9015311.166466877,9.02,39431.18009534059,244.93375394321765
0404,04,Greg Stanton,Arizona 4th,Arizona ,D,207 CHOB,(202) 225-9888,foreign_affairs|transportation_and_infrastructure,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9605,5916,353,410,33,6166974599.75,642058.7818584071,3218.41,1055537401.01,-20145000.0,15880196.667629546,THE BOEING COMPANY,Department of Defense,6166.97,17470183.002124645,17.47,1042423.022270115,27.209631728045327
0405,05,Andy Biggs,Arizona 5th,Arizona ,R,252 CHOB,(202) 225-2635,oversight_and_accountability|judiciary,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4338,1980,154,173,21,2659404936.27,613048.6252351314,0.0,471511000.0,-70000000.0,10276229.099494299,NORTHROP GRUMMAN SYSTEMS CORPORATION,Department of Defense,2659.4,17268863.222532466,17.27,1343133.8061969697,28.16883116883117
0406,06,Juan Ciscomani,Arizona 6th,Arizona ,R,1429 LHOB,(202) 225-2542,appropriations|veterans_affairs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6654,4261,315,341,21,670959757.05,100835.55110459874,3817.5,23363504.0,-18827519.99,818064.7628285274,NORTHROP GRUMMAN SYSTEMS CORPORATION,Department of Defense,670.96,2130030.9747619047,2.13,157465.32669561135,21.123809523809523
0407,07,Raul Grijalva,Arizona 7th,Arizona ,D,1203 LHOB,(202) 225-2435,education_and_the_workforce|natural_resources,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12044,5988,357,390,23,16708612551.34,1387297.621333444,207.625,966997119.0,-166199733.66,19870134.18193879,RAYTHEON COMPANY,Department of Defense,16708.61,46802836.27826331,46.8,2790349.45747161,33.73669467787115
0408,08,Debbie Lesko,Arizona 8th,Arizona ,R,1214 LHOB,(202) 225-4576,energy_and_commerce|select_subcommittee_on_the_coronavirus_pandemic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4206,2895,139,159,28,19422486289.98,4617804.633851641,16474.5,2224839172.7,-4561568.0,69271058.42181927,TRIWEST HEALTHCARE ALLIANCE CORP,Department of Veterans Affairs,19422.49,139730117.1941007,139.73,6708976.265968911,30.258992805755394
0409,09,Paul Gosar,Arizona 9th,Arizona ,R,2057 RHOB,(202) 225-2315,oversight_and_accountability|natural_resources,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4360,3737,173,184,15,214069029.79,49098.40132798165,3957.08,44710000.0,-3835065.44,780848.5890878908,SOUTHWEST CONCRETE PAVING CO,Department of Defense,214.07,1237393.2357803467,1.24,57283.65795825528,25.202312138728324
0501,01,Eric Crawford,Arkansas 1st,Arkansas ,R,2422 RHOB,(202) 225-4076,agriculture|Intelligence|transportation_and_infrastructure|science_space_and_technology,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1382,839,145,159,15,105417538.64,76278.9715195369,316.42,7390700.0,-1507182.61,358533.8206385701,A4 SERVICES LLC,Department of Veterans Affairs,105.42,727017.507862069,0.73,125646.64915375446,9.53103448275862
0502,02,J. Hill,Arkansas 2nd,Arkansas ,R,1533 LHOB,(202) 225-2506,financial_services|foreign_affairs|Intelligence,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4774,3331,290,319,24,460513027.13,96462.72038751571,2231.895,43096156.0,-2000000.0,942907.1287789687,"AMERIND BG JV, LLC",Department of Health and Human Services,460.51,1587975.9556206896,1.59,138250.68361753228,16.46206896551724
0503,03,Steve Womack,Arkansas 3rd,Arkansas ,R,2412 RHOB,(202) 225-4301,appropriations,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36453,34086,172,194,16,859312031.0,23573.149836776123,416.28,29648520.02,-11266192.29,524070.2818359738,TYSON FOODS INC.,Department of Agriculture,859.31,4996000.180232558,5.0,25210.116499442585,211.9360465116279
0504,04,Bruce Westerman,Arkansas 4th,Arkansas ,R,202 CHOB,(202) 225-3772,natural_resources|transportation_and_infrastructure,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4434,3317,231,263,16,276129376.29,62275.45698917456,578.62,24915000.0,-2617040.88,719669.1961359611,PINE BLUFF SAND AND GRAVEL COMPANY,Department of Defense,276.13,1195365.2653246755,1.2,83246.7218239373,19.194805194805195
0601,01,Doug LaMalfa,California 1st,California ,R,408 CHOB,(202) 225-3076,agriculture|natural_resources|transportation_and_infrastructure,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46588,43854,600,649,16,756312356.37,16234.059336524428,701.145,34322156.45,-57884000.0,437025.73853285436,STEVE MANNING CONSTRUCTION INC,Department of Transportation,756.31,1260520.59395,1.26,17246.143028458064,77.64666666666666
0602,02,Jared Huffman,California 2nd,California ,D,2445 RHOB,(202) 225-5161,natural_resources|transportation_and_infrastructure,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4651,2609,409,436,28,826495073.96,177702.6604945173,3078.0,75357737.0,-5844555.0,2185218.344837838,THE DUTRA GROUP,Department of Defense,826.5,2020770.35198044,2.02,316786.153300115,11.37163814180929
0603,03,Kevin Kiley,California 3rd,California ,R,1032 LHOB,(202) 225-2523,education_and_the_workforce|judiciary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4796,2652,382,425,24,3366814068.6800003,702004.6014762303,1204.0,1162993024.95,-16733904.09,19830186.488622293,"HEALTH NET FEDERAL SERVICES, LLC",Department of Defense,3366.81,8813649.394450262,8.81,1269537.7332880846,12.55497382198953
0604,04,Mike Thompson,California 4th,California ,D,268 CHOB,(202) 225-3311,ways_and_means,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4097,2967,225,253,24,385707475.65,94143.87982670245,607.2,129173360.0,-53504114.0,2603918.0576201985,NOVA NACAP A JOINT VENTURE,Department of Defense,385.71,1714255.4473333333,1.71,129999.14919110211,18.20888888888889
0605,05,Tom McClintock,California 5th,California ,R,2256 RHOB,(202) 225-2511,budget|natural_resources|judiciary,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7196,3970,321,359,17,498947456.26,69336.77824624791,1238.9,13387038.93,-1393543.0,396794.35639021784,"GROWER DIRECT NUT COMPANY, INC.",Department of Agriculture,498.95,1554353.4462928348,1.55,125679.46001511335,22.417445482866043
0606,06,Ami Bera,California 6th,California ,D,172 CHOB,(202) 225-5716,foreign_affairs|Intelligence|select_subcommittee_on_the_coronavirus_pandemic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8385,6577,208,242,20,5655322680.26,674457.0876875373,2010.06,833198672.28,-46355971.92,15133247.388703682,"HEALTH NET FEDERAL SERVICES, LLC",Department of Defense,5655.32,27189051.347403847,27.19,859863.5670153566,40.3125
0607,07,Doris Matsui,California 7th,California ,D,2311 RHOB,(202) 225-7163,energy_and_commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4206,2953,219,248,25,548274073.11,130355.2242296719,1930.26,39235634.38,-2528874.0,943900.18274401,AHTNA USA-CDM JV,Department of Defense,548.27,2503534.580410959,2.5,185666.80430409755,19.205479452054796
